Team name,Shots per game,Possession per game,Pass success per game,Rating
Paris Saint Germain,14.9,63.5,89.5,13.4,7.24
Real Madrid,20.0,55.5,87.0,10.6,7.23
Bayern Munich,19.9,67.1,88.6,15.8,7.19
Barcelona,16.5,61.5,86.0,11.1,7.19
Arsenal,15.6,56.4,85.0,14.8,7.08
Borussia Dortmund,16.3,60.1,83.8,21.1,7.06
Atletico Madrid,13.1,50.3,79.4,16.8,7.05
Leicester,13.5,43.8,69.8,18.2,7.01
Tottenham,15.3,54.1,80.1,14.1,7.0
Manchester City,17.4,55.7,83.7,14.8,6.99
Fiorentina,15.0,60.0,86.7,10.8,6.97
Napoli,16.9,58.3,84.6,13.9,6.96
Bayer Leverkusen,14.7,53.2,75.1,29.6,6.95
Wolfsburg,14.9,57.8,83.8,20.5,6.94
Inter,13.2,53.2,82.7,14.4,6.94
Juventus,16.3,55.0,85.4,14.4,6.94
Everton,13.3,52.1,82.3,12.4,6.93
West Ham,13.7,47.0,76.5,18.2,6.92
Schalke ,14.9,51.1,79.6,22.3,6.9
Nice,10.3,54.4,83.6,14.1,6.88
Deportivo La Coruna,11.7,47.2,73.7,16.3,6.88
Roma,14.5,54.7,81.6,16.1,6.88
Borussia M.Gladbach,12.6,54.3,81.7,19.5,6.88
Valencia,10.2,49.6,78.5,14.6,6.87
Lyon,14.7,58.0,83.6,16.7,6.87
Marseille,13.3,55.5,83.3,13.7,6.86
Eibar,10.6,44.0,66.6,19.7,6.86
Athletic Club,12.5,47.6,72.4,23.4,6.86
Celta Vigo,12.9,56.5,81.0,15.4,6.86
Crystal Palace,12.3,46.7,75.4,15.8,6.85
Watford,12.1,45.8,72.1,15.8,6.85
Bordeaux,11.3,51.0,79.2,22.1,6.84
Southampton,14.5,50.7,78.4,19.3,6.83
AC Milan,14.6,50.9,78.8,14.1,6.83
Liverpool,16.2,54.7,79.4,18.6,6.83
Hertha Berlin,9.3,49.4,78.7,22.6,6.83
Sevilla,13.8,50.8,77.9,18.2,6.83
Sassuolo,12.4,50.0,77.1,15.9,6.83
FC Cologne,12.5,47.5,75.9,22.9,6.83
Monaco,11.6,51.0,80.0,17.7,6.83
Empoli,13.8,50.3,80.5,11.2,6.82
Rennes,10.9,49.7,79.3,16.0,6.82
Augsburg,15.3,48.8,76.3,26.5,6.82
Montpellier,10.2,50.1,78.5,19.8,6.82
Manchester United,11.6,57.3,83.9,13.4,6.82
Caen,12.3,41.5,70.1,22.8,6.81
Chelsea,13.9,54.7,81.6,15.4,6.81
Lorient,11.5,50.1,80.2,13.7,6.81
Stoke,10.8,49.1,78.5,15.1,6.8
Villarreal,8.7,46.7,73.8,14.4,6.8
Atalanta,12.0,48.6,76.3,15.2,6.8
Lille,13.4,51.3,76.3,19.6,6.8
Mainz ,10.7,46.7,73.7,23.5,6.79
Hamburger SV,11.6,49.5,74.6,27.4,6.78
Nantes,10.8,47.3,76.2,18.5,6.78
Real Sociedad,12.4,53.0,77.8,18.2,6.77
Chievo,11.4,46.4,74.6,17.3,6.76
Angers,10.6,44.0,77.5,16.2,6.76
Werder Bremen,12.5,44.8,67.8,31.2,6.75
Torino,12.3,48.6,81.8,12.6,6.75
Bologna,9.1,45.4,75.4,14.5,6.75
GFC Ajaccio,11.4,47.3,74.6,18.1,6.75
Ingolstadt,11.8,45.5,65.9,32.1,6.75
Malaga,12.4,50.1,74.8,15.2,6.75
Sampdoria,10.9,49.4,79.9,8.6,6.74
West Bromwich Albion,9.8,42.4,71.7,18.1,6.74
Eintracht Frankfurt,11.2,47.7,75.6,23.9,6.73
Las Palmas,11.2,53.1,79.5,16.2,6.73
Bournemouth,12.4,52.0,80.2,16.7,6.73
Genoa,12.2,51.5,78.7,15.6,6.73
Aston Villa,10.7,49.8,78.7,20.0,6.72
Saint-Etienne,12.1,51.8,77.9,17.9,6.72
SC Bastia,8.2,44.4,72.0,17.4,6.71
Guingamp,11.5,45.5,73.9,20.8,6.71
Lazio,13.1,54.6,80.3,15.0,6.71
Palermo,12.4,46.3,77.0,14.1,6.7
Hoffenheim,10.9,46.4,73.1,20.5,6.7
Udinese,12.5,46.2,74.8,17.3,6.7
Swansea,11.6,52.7,82.2,14.7,6.69
Toulouse,11.6,47.0,77.4,15.3,6.69
VfB Stuttgart,15.1,47.3,70.5,24.4,6.69
Sunderland,10.9,42.9,73.0,18.7,6.69
Newcastle United,9.3,45.9,76.5,13.1,6.68
Real Betis,11.4,47.6,74.3,14.9,6.68
Reims,10.7,48.4,77.1,17.6,6.68
Hannover ,9.6,45.5,73.6,28.5,6.67
Sporting Gijon,10.5,43.9,71.4,16.6,6.67
Norwich,11.2,46.5,75.9,15.8,6.67
Darmstadt,10.4,37.1,56.2,28.6,6.67
Getafe,10.9,46.5,74.9,12.6,6.65
Granada,11.7,47.3,71.7,16.3,6.64
Frosinone,12.8,43.7,69.8,16.3,6.63
Espanyol,9.5,48.1,76.2,15.2,6.63
Carpi,11.9,41.6,72.0,12.7,6.63
Rayo Vallecano,12.2,53.8,77.0,17.4,6.58
Troyes,12.0,48.1,78.0,12.6,6.56
Verona,9.8,45.8,75.7,14.2,6.55
Levante,10.9,47.1,72.7,17.9,6.55
