Barcelona		16.5	6.8	15.6	16.1	7.19
Marseille		13.3	5.2	14.7	13.1	6.86
Juventus		16.3	5.1	13.6	15.3	6.94
Bayern Munich		19.9	8.5	13.5	12.2	7.19
Everton		13.3	4.6	12.6	11.3	6.93
Lorient		11.5	4.2	12.6	13.6	6.81
Arsenal		15.6	5.7	12.6	11.7	7.08
Bayer Leverkusen		14.7	5.4	12.3	14.4	6.95
Borussia M.Gladbach		12.6	5.6	12.2	14.1	6.88
Wolfsburg		14.9	5.6	12.1	13.8	6.94
Aston Villa		10.7	3.3	11.9	9.7	6.72
Empoli		13.7	4.2	11.8	19.6	6.84
Schalke		14.9	4.9	11.8	13.3	6.90
Paris Saint Germain		14.9	6.7	11.7	11.5	7.24
Bordeaux		11.3	3.4	11.7	13.2	6.84
Chelsea		13.9	4.1	11.3	13.5	6.81
Genoa		12.2	3.6	11.3	15.7	6.73
Inter		13.2	4.5	11.2	12.7	6.94
Bournemouth		12.4	4	11.2	10.8	6.73
Borussia Dortmund		16.3	6.7	11.1	13.4	7.06
Real Madrid		20	7.9	11.1	13.6	7.23
Rennes		10.9	3.9	11.1	10.4	6.82
Nice		10.3	4.5	11	13.3	6.88
VfB Stuttgart		15.1	5.2	10.9	13.4	6.69
Toulouse		11.6	4.2	10.8	13.9	6.69
Atletico Madrid		13.1	4.2	10.8	11.7	7.05
Fiorentina		15	5.1	10.7	15.3	6.97
Werder Bremen		12.5	3.8	10.5	14.7	6.75
Mainz		10.7	4.1	10.5	14.3	6.79
Montpellier		10.2	3.9	10.5	15.2	6.82
Leicester		13.5	4.8	10.5	8.8	7.01
Crystal Palace		12.3	4.4	10.2	11.2	6.85
Manchester City		17.4	6.5	10.1	10.3	6.99
Liverpool		16.2	4.7	10	8.9	6.83
Torino		12.3	4.5	10	12.6	6.75
Stoke		10.8	3.4	10	10	6.80
Roma		14.5	5.4	9.9	12.4	6.88
Napoli		16.9	5.8	9.9	11.9	6.96
Lille		13.4	3.8	9.8	16.5	6.80
AC Milan		14.6	4.3	9.8	16.3	6.83
Real Betis		11.4	3.4	9.8	13.7	6.68
Hamburger SV		11.6	3.6	9.6	15.3	6.78
Tottenham		15.3	6.2	9.6	10.5	7.00
Hertha Berlin		9.3	4	9.5	15.3	6.83
Lazio		13.1	3.8	9.4	13.4	6.71
Monaco		11.6	4.4	9.4	14.3	6.83
Palermo		12.4	3.6	9.3	13.6	6.70
West Ham		13.7	4.8	9.3	11.8	6.92
Las Palmas		11.2	4.1	9.2	15.7	6.73
Nantes		10.8	3.1	9.2	9.9	6.78
Newcastle United		9.3	3.3	9.2	10.9	6.68
Levante		10.9	3.3	9.1	13.4	6.55
Manchester United		11.6	3.8	9	10	6.82
Carpi		11.9	3.7	9	14.6	6.63
Celta Vigo		12.9	4.7	8.9	14.4	6.86
Lyon		14.7	4.8	8.8	14.1	6.87
Valencia		10.2	3.7	8.7	17.8	6.87
Sevilla		13.8	5.3	8.7	14.1	6.83
Hannover		9.6	3.3	8.6	12.8	6.67
Udinese		12.5	3.9	8.6	15.1	6.70
Troyes		12	3.6	8.6	11.2	6.56
Granada		11.7	3.5	8.5	14.5	6.64
FC Cologne		12.5	4.8	8.4	13.9	6.83
Norwich		11.2	3.6	8.3	7.3	6.67
Watford		12.1	3.8	8.3	10.1	6.85
Augsburg		15.3	4.9	8.2	13.8	6.82
Espanyol		9.5	2.9	8.2	13.7	6.63
Eintracht Frankfurt		11.2	4.2	8.2	13.7	6.73
Reims		10.7	4.1	8.2	12.8	6.68
Sunderland		10.9	3.5	8.1	10.2	6.69
Swansea		11.6	3.7	8.1	12.5	6.69
Sampdoria		10.9	3.9	7.9	14.4	6.74
Sassuolo		12.4	4.1	7.9	18.2	6.83
Sporting Gijon		10.5	3.5	7.8	11.1	6.67
Bologna		9.1	2.9	7.7	13.6	6.75
West Bromwich Albion		9.8	3.2	7.7	10	6.74
Getafe		10.9	3.9	7.4	12.2	6.65
Verona		9.8	2.9	7.3	14.4	6.55
Rayo Vallecano		12.2	4.2	7.2	12.3	6.58
Atalanta		12	3.6	7.2	15.6	6.80
Frosinone		12.8	3.8	7.1	15.5	6.63
Southampton		14.5	4.7	7.1	9.4	6.83
Angers		10.6	3.6	7.1	11.2	6.76
Real Sociedad		12.4	4.1	7	15.3	6.77
SC Bastia		8.2	2.8	7	12.2	6.71
Hoffenheim		10.9	3.2	6.9	14.2	6.70
Deportivo La Coruna		11.7	4.1	6.8	11.2	6.88
Ingolstadt		11.8	3.5	6.6	17	6.75
Caen		12.3	4.8	6.5	12.3	6.81
Eibar		10.6	3.9	6.5	10.1	6.86
Malaga		12.4	4.3	6.4	12.3	6.75
GFC Ajaccio		11.4	3.4	6.3	10.5	6.75
Guingamp		11.5	4.1	6.2	15.9	6.71
Saint-Etienne		12.1	3.8	6.1	11.2	6.72
Athletic Club		12.5	4.3	5.9	13.6	6.86
Villarreal		8.7	3.4	5.7	12.5	6.80
Chievo		11.4	3.3	5.5	14.3	6.76
Darmstadt		10.4	3.2	4.4	15.4	6.67
