Paris Saint Germain		14.9	251	63.5	89.5	13.4	7.24
Real Madrid		20	332	55.5	87.0	10.6	7.23
Bayern Munich		19.9	211	67.1	88.6	15.8	7.19
Barcelona		16.5	271	61.5	86.0	11.1	7.19
Arsenal		15.6	202	56.4	85.0	14.8	7.08
Borussia Dortmund		16.3	160	60.1	83.8	21.1	7.06
Atletico Madrid		13.1	471	50.3	79.4	16.8	7.05
Leicester		13.5	330	43.8	69.8	18.2	7.01
Tottenham		15.3	430	54.1	80.1	14.1	7.00
Manchester City		17.4	360	55.7	83.7	14.8	6.99
Fiorentina		15	431	60.0	86.7	10.8	6.97
Napoli		16.9	351	58.3	84.6	13.9	6.96
Bayer Leverkusen		14.7	322	53.2	75.1	29.6	6.95
Wolfsburg		14.9	292	57.8	83.8	20.5	6.94
Inter		13.2	386	53.2	82.7	14.4	6.94
Juventus		16.3	453	55.0	85.4	14.4	6.94
Everton		13.3	292	52.1	82.3	12.4	6.93
West Ham		13.7	274	47.0	76.5	18.2	6.92
Schalke 	14.9	341	51.1	79.6	22.3	6.90
Nice		10.3	365	54.4	83.6	14.1	6.88
Deportivo La Coruna		11.7	451	47.2	73.7	16.3	6.88
Roma		14.5	434	54.7	81.6	16.1	6.88
Borussia M.Gladbach		12.6	273	54.3	81.7	19.5	6.88
Valencia		10.2	554	49.6	78.5	14.6	6.87
Lyon		14.7	300	58.0	83.6	16.7	6.87
Marseille		13.3	414	55.5	83.3	13.7	6.86
Eibar		10.6	592	44.0	66.6	19.7	6.86
Athletic Club		12.5	402	47.6	72.4	23.4	6.86
Celta Vigo		12.9	515	56.5	81.0	15.4	6.86
Crystal Palace		12.3	331	46.7	75.4	15.8	6.85
Watford		12.1	372	45.8	72.1	15.8	6.85
Bordeaux		11.3	455	51.0	79.2	22.1	6.84
Southampton		14.5	343	50.7	78.4	19.3	6.83
AC Milan		14.6	443	50.9	78.8	14.1	6.83
Liverpool		16.2	391	54.7	79.4	18.6	6.83
Hertha Berlin		9.3	282	49.4	78.7	22.6	6.83
Sevilla		13.8	492	50.8	77.9	18.2	6.83
Sassuolo		12.4	454	50.0	77.1	15.9	6.83
FC Cologne		12.5	300	47.5	75.9	22.9	6.83
Monaco		11.6	411	51.0	80.0	17.7	6.83
Empoli		13.8	453	50.3	80.5	11.2	6.82
Rennes		10.9	392	49.7	79.3	16	6.82
Augsburg		15.3	381	48.8	76.3	26.5	6.82
Montpellier		10.2	380	50.1	78.5	19.8	6.82
Manchester United		11.6	330	57.3	83.9	13.4	6.82
Caen		12.3	274	41.5	70.1	22.8	6.81
Chelsea		13.9	313	54.7	81.6	15.4	6.81
Lorient		11.5	315	50.1	80.2	13.7	6.81
Stoke		10.8	294	49.1	78.5	15.1	6.80
Villarreal		8.7	423	46.7	73.8	14.4	6.80
Atalanta		12	4310	48.6	76.3	15.2	6.80
Lille		13.4	464	51.3	76.3	19.6	6.80
Mainz 	10.7	260	46.7	73.7	23.5	6.79
Hamburger SV		11.6	301	49.5	74.6	27.4	6.78
Nantes		10.8	424	47.3	76.2	18.5	6.78
Real Sociedad		12.4	553	53.0	77.8	18.2	6.77
Chievo		11.4	481	46.4	74.6	17.3	6.76
Angers		10.6	332	44.0	77.5	16.2	6.76
Werder Bremen		12.5	382	44.8	67.8	31.2	6.75
Torino		12.3	352	48.6	81.8	12.6	6.75
Bologna		9.1	492	45.4	75.4	14.5	6.75
GFC Ajaccio		11.4	503	47.3	74.6	18.1	6.75
Ingolstadt		11.8	410	45.5	65.9	32.1	6.75
Malaga		12.4	483	50.1	74.8	15.2	6.75
Sampdoria		10.9	432	49.4	79.9	8.6	6.74
West Bromwich Albion		9.8	403	42.4	71.7	18.1	6.74
Eintracht Frankfurt		11.2	442	47.7	75.6	23.9	6.73
Las Palmas		11.2	443	53.1	79.5	16.2	6.73
Bournemouth		12.4	311	52.0	80.2	16.7	6.73
Genoa		12.2	408	51.5	78.7	15.6	6.73
Aston Villa		10.7	430	49.8	78.7	20	6.72
Saint-Etienne		12.1	352	51.8	77.9	17.9	6.72
SC Bastia		8.2	394	44.4	72.0	17.4	6.71
Guingamp		11.5	423	45.5	73.9	20.8	6.71
Lazio		13.1	443	54.6	80.3	15	6.71
Palermo		12.4	512	46.3	77.0	14.1	6.70
Hoffenheim		10.9	291	46.4	73.1	20.5	6.70
Udinese		12.5	503	46.2	74.8	17.3	6.70
Swansea		11.6	320	52.7	82.2	14.7	6.69
Toulouse		11.6	399	47.0	77.4	15.3	6.69
VfB Stuttgart		15.1	394	47.3	70.5	24.4	6.69
Sunderland		10.9	392	42.9	73.0	18.7	6.69
Newcastle United		9.3	383	45.9	76.5	13.1	6.68
Real Betis		11.4	543	47.6	74.3	14.9	6.68
Reims		10.7	424	48.4	77.1	17.6	6.68
Hannover 	9.6	330	45.5	73.6	28.5	6.67
Sporting Gijon		10.5	442	43.9	71.4	16.6	6.67
Norwich		11.2	322	46.5	75.9	15.8	6.67
Darmstadt		10.4	420	37.1	56.2	28.6	6.67
Getafe		10.9	573	46.5	74.9	12.6	6.65
Granada		11.7	614	47.3	71.7	16.3	6.64
Frosinone		12.8	471	43.7	69.8	16.3	6.63
Espanyol		9.5	633	48.1	76.2	15.2	6.63
Carpi		11.9	442	41.6	72.0	12.7	6.63
Rayo Vallecano		12.2	507	53.8	77.0	17.4	6.58
Troyes		12	355	48.1	78.0	12.6	6.56
Verona		9.8	492	45.8	75.7	14.2	6.55
Levante		10.9	663	47.1	72.7	17.9	6.55
