Toulouse		11.8	25.3	17.6	14	1.9	6.69
Atletico Madrid		10.2	24.1	19.7	13.4	2.4	7.05
Bordeaux		10.4	23.8	19.4	12.9	2.8	6.84
Valencia		13.3	23.6	20.2	15.9	2.1	6.87
Atalanta		14.1	23.5	19.8	16.5	1.4	6.80
Eibar		11.3	23.4	22.1	16.7	2.9	6.86
Leicester		13.2	22.7	22.2	10.9	1.2	7.01
Liverpool		9.9	22.7	14	11.6	2.7	6.83
Deportivo La Coruna		9.7	22.4	21.4	12.2	2.5	6.88
Paris Saint Germain		8.8	22.1	18.5	11.1	3.7	7.24
Celta Vigo		11.9	21.8	22.2	14.1	2.9	6.86
Athletic Club		10.7	21.7	20.7	13.7	2.6	6.86
Nantes		12.5	21.7	15.4	16.7	2.2	6.78
Lyon		9.9	21.5	15.1	12.6	2	6.87
Granada		11.2	21.2	20.3	16	2.2	6.64
Rennes		11.8	21.2	17.4	13.8	2.6	6.82
Tottenham		11.3	21.2	18.4	12.9	2.2	7.00
Palermo		15.2	21.1	14.7	15.9	2.3	6.70
Chelsea		11.8	21.1	14.3	11.3	1.9	6.81
Carpi		12.7	20.9	20.6	15.6	2.5	6.63
Sunderland		15.8	20.9	15.3	11.1	2	6.69
Newcastle United		16.7	20.7	16.5	10.4	1.7	6.68
Caen		11.8	20.6	16.6	12.2	2.2	6.81
Watford		12.4	20.4	19.8	11.7	1.2	6.85
Bologna		14.1	20.4	22.2	13.9	3.1	6.75
Sporting Gijon		15.1	20.4	18.8	13.9	2.4	6.67
Bayer Leverkusen		9.5	20.3	22.8	15.6	2.9	6.95
Saint-Etienne		11.7	20.3	15.3	15.4	2.3	6.72
Troyes		16.3	20.2	17.6	11.8	1.6	6.56
West Ham		15.7	20.1	17.1	10	1.8	6.92
Werder Bremen		13.5	20	24.4	16.5	2.1	6.75
Nice		11.5	19.9	18.6	12.1	1.5	6.88
Malaga		11	19.9	18.8	15.2	2.3	6.75
Hamburger SV		13.1	19.8	19.1	16.4	1.3	6.78
Espanyol		13.1	19.7	17	19.3	2.2	6.63
GFC Ajaccio		12.1	19.6	20.5	14.6	2.1	6.75
Guingamp		11.3	19.5	18.4	14.8	1.5	6.71
Arsenal		11.4	19.5	19	8.7	2.2	7.08
Montpellier		11.9	19.4	22.5	12.6	1.8	6.82
Manchester United		9	19.4	15.3	12.4	1.8	6.82
SC Bastia		12.4	19.4	18	12.9	1.7	6.71
Real Betis		14.2	19.2	20.3	13.3	2.4	6.68
Marseille		9.9	19.2	19.1	13.5	2.2	6.86
Villarreal		12.4	19.2	20.6	15.5	3.1	6.80
Lille		10	19.2	17.6	16.3	1.3	6.80
Stoke		15.3	19.2	15.3	10.5	2.9	6.80
Everton		13.8	19.1	12.9	8.7	1.6	6.93
Real Sociedad		11.6	19	19.4	12.4	2.1	6.77
Verona		14.7	18.8	14.3	14.8	2.9	6.55
Southampton		12	18.7	17.6	10.4	2.7	6.83
Bournemouth		10.9	18.7	16.1	9.7	2	6.73
Sampdoria		17.1	18.7	14.6	14.6	2.6	6.74
Manchester City		9	18.6	15.1	10.4	1.5	6.99
Lazio		9.9	18.5	21.7	16.5	2.6	6.71
Inter		12.1	18.4	14.8	12.8	2.1	6.94
Aston Villa		12.9	18.3	19.4	12.2	1.3	6.72
Real Madrid		11.6	18.3	18.9	10.7	2.7	7.23
Frosinone		20.7	18.3	17.2	16.7	2.5	6.63
AC Milan		11.2	18.2	19.3	15.7	3.2	6.83
Chievo		14.1	18.2	19	17.4	3.1	6.76
Las Palmas		13.2	18.2	20	12.9	2.1	6.73
Darmstadt		14.9	18.1	19.9	16.2	2.4	6.67
Crystal Palace		15.3	18.1	16.3	12.7	2.3	6.85
Genoa		13.4	17.8	19.6	16.8	2.1	6.73
Wolfsburg		10.5	17.8	17.6	13.6	1.9	6.94
Sassuolo		12.4	17.8	21.4	15.5	1.9	6.83
Ingolstadt		11.4	17.8	21.5	14.9	2.6	6.75
Angers		11.1	17.7	15.1	14	0.8	6.76
Getafe		12.7	17.7	18.9	14.2	1.6	6.65
Napoli		10.2	17.6	11.5	12.9	2.7	6.96
Hoffenheim		15.6	17.5	19.6	14.7	2.2	6.70
Monaco		12.3	17.4	19.2	14.6	2.2	6.83
VfB Stuttgart		12.6	17.4	20.8	15.2	3.5	6.69
Rayo Vallecano		12.9	17.3	20.2	14.4	3.5	6.58
Mainz 		15.2	17.3	19.2	16	2.9	6.79
FC Cologne		14.9	17.3	17.6	12.2	3.1	6.83
Torino		10	17.3	16.6	16.1	2.4	6.75
Sevilla		13.7	17.2	17.9	14.1	2.4	6.83
Borussia M.Gladbach		14.8	17.2	18.8	15.1	2.2	6.88
Reims		12.3	17.1	19.1	12.8	0.9	6.68
Fiorentina		8.8	17.1	17.6	15.1	1.8	6.97
Barcelona		10.3	16.9	15.5	9.6	3.3	7.19
Borussia Dortmund		8.2	16.8	17.1	12.4	3.7	7.06
Udinese		12.9	16.7	19.4	15.5	2.4	6.70
Norwich		13.1	16.4	11.9	11	2.2	6.67
West Bromwich Albion		14.1	16.4	18.1	10.1	1.6	6.74
Levante		12.8	16.3	18.4	15.8	1.8	6.55
Hannover 		16.2	16.2	14.8	15.2	2.1	6.67
Augsburg		16.3	16	19.5	15.9	1.9	6.82
Hertha Berlin		12.5	15.9	15.6	14.1	1.4	6.83
Lorient		13.3	15.8	22.3	12.2	1.6	6.81
Juventus		8.8	15.8	16.1	16.3	2.4	6.94
Eintracht Frankfurt		13.4	15.6	21.1	14.6	3.5	6.73
